source,target,weight
*_ipul.🐾,mas eng69,0.6581
*_ipul.🐾,masayu,0.673
*_ipul.🐾,mhrullam,0.72
*_ipul.🐾,muhammadchilung,0.6655
*_ipul.🐾,nadhiff👾,0.7075
*_ipul.🐾,narti,0.7205
*_ipul.🐾,narzz🌊🌊,0.6641
*_ipul.🐾,neyymar kee jakarta,0.6968
*_ipul.🐾,p4tooookkkk,0.7174
*_ipul.🐾,praditailhm_,0.6571
*_ipul.🐾,rahmat kartolo,0.7264
*_ipul.🐾,rijakipp,0.6797
*_ipul.🐾,s u m m e r .,0.6568
*_ipul.🐾,sleep the saunt,0.718
*_ipul.🐾,suyato jowo,0.8075
*_ipul.🐾,tangrajinngaji,0.703
*_ipul.🐾,tofik.putra17,0.6772
*_ipul.🐾,wo,0.7923
*_ipul.🐾,wong elek,0.7882
*_ipul.🐾,zrill🇦🇱🇦🇱,0.8296
*_ipul.🐾,￴,0.672
*_ipul.🐾,￴￴,0.6507
*_ipul.🐾,🎮,0.8071
*_ipul.🐾,🔴⚪,0.6699
+0627,arul empat huruf,0.663
+0627,bian aja,0.6537
+0627,k  for  kami'el,0.6923
+0627,kib3nk_ta,0.6668
+0627,mas eng69,0.6626
+0627,🤴🏽,0.7249
+tam🕊️,0_4 stecu,0.8923
+tam🕊️,21.alippp,0.6911
+tam🕊️,:3윤니스🇰🇷🥷💐,0.6588
+tam🕊️,?,0.8308
+tam🕊️,@!van★*,1.0
+tam🕊️,@turzxi!eu69數,0.7048
+tam🕊️,abcde?,0.8452
+tam🕊️,ajammjamm_,0.8055
+tam🕊️,alee25 store,0.8055
+tam🕊️,andre $,0.6563
+tam🕊️,arisdel8,1.0
+tam🕊️,arya,1.0
+tam🕊️,asya&fajar,0.8452
+tam🕊️,ateng54,0.8452
+tam🕊️,ath,1.0
+tam🕊️,bleng ko,0.6588
+tam🕊️,bsep,0.8452
+tam🕊️,buluk gonzales 13,0.8649
+tam🕊️,daniiii,0.8452
+tam🕊️,danzooo,0.7016
+tam🕊️,deboy,0.6757
+tam🕊️,derasah,0.8055
+tam🕊️,desttt_,0.7962
+tam🕊️,devannn,0.7392
+tam🕊️,dewoel,0.7006
+tam🕊️,dheebu,1.0
+tam🕊️,dheevaaaaaaaaaaaaaaaaaaaaa,0.6898
+tam🕊️,diah sri972,1.0
+tam🕊️,duwiii,0.8452
+tam🕊️,dwisetyarinii,0.8055
+tam🕊️,enaksekali,0.8452
+tam🕊️,enjoyss,0.7337
+tam🕊️,excel😶‍🌫️            akun №1,0.9191
+tam🕊️,fernanda,0.8452
+tam🕊️,firmannnnnnnn,0.8452
+tam🕊️,fittdos,0.8055
+tam🕊️,fzryyyy,0.6983
+tam🕊️,gl badax,1.0
+tam🕊️,haniiif,1.0
+tam🕊️,i'szz?!,0.7176
+tam🕊️,ig: ryaaa.06_,0.7056
+tam🕊️,iin,1.0
+tam🕊️,indomaret 24 jam,0.6716
+tam🕊️,ini punya aku 🤪,0.6704
+tam🕊️,juprianto anto,0.8055
+tam🕊️,kd urng ya,1.0
+tam🕊️,kembali datang,0.7337
+tam🕊️,kenzo.s.m.z,0.8452
+tam🕊️,lakmen,0.6693
+tam🕊️,lianaa,0.6525
+tam🕊️,luthfyyy,0.8055
+tam🕊️,mahendri,0.7803
+tam🕊️,mas_drun,0.8055
+tam🕊️,n4uf@l 4j4,0.862
+tam🕊️,nanangmungils1,1.0
+tam🕊️,nipzzz,0.8229
+tam🕊️,ovl,0.7056
+tam🕊️,p4n_🤷‍♂️🤷‍♂️,0.7231
+tam🕊️,pangeran kodok,0.6549
+tam🕊️,panzskbd,1.0
+tam🕊️,pasarrumah.id,0.6918
+tam🕊️,pikaars?,0.654
+tam🕊️,r 4 5 ya,0.696
+tam🕊️,rezx2nd,0.8452
+tam🕊️,riff,0.8452
+tam🕊️,risky⛔️🆘️,0.7074
+tam🕊️,sannzxkce,0.6825
+tam🕊️,scorpio🦂,0.8452
+tam🕊️,seli🌸,0.6656
+tam🕊️,sinfloww,0.8055
+tam🕊️,tokoserbada12,0.7623
+tam🕊️,tri yulianti,1.0
+tam🕊️,vann 🌳,0.6713
+tam🕊️,veri ramandani18,0.8055
+tam🕊️,wawud,0.6503
+tam🕊️,wien,0.6656
+tam🕊️,ye,0.8283
+tam🕊️,yuliazaa,0.6588
+tam🕊️,zaza,0.6641
+tam🕊️,น้ำอุ่น กัญญาภัทร เต๊กอ๋อต้ง,0.6588
+tam🕊️,⚽,0.6656
+tam🕊️,⠀ ⠀ ⠀ ⠀ ⠀᠌,1.0
+tam🕊️,レザ,0.6953
+tam🕊️,𝕱_v2,0.6794
